,Breed,Description,Group,Origin,Life Expectancy,Related Breeds,Temperament,Adaptability Level,Affectionate With Family,Barking Level,Coat Grooming Frequency,Good with Young Children,Coat Length,Coat Type,Drooling Level,Energy Level,Good With Other Dogs,Mental Stimulation Needs,Openness to Strangers,Playfulness Level,Shedding Level,Trainability Level,Min Height,Max Height,Min Weight,Max Weight
11,American Leopard Hound,"<p>Intelligence is one of the American Leopard Hound's very best attributes. The breed is loving and affectionate toward their family and they are extremely protective of children. American Leopards are one of the oldest tree dog breeds in the U.S. and have extremely strong tracking abilities, often able to track prey for miles.</p>",Foundation Stock Service,Mexico,12-15 years,"Catahoula Leopard Dog, Treeing Tennessee Brindle, Treeing Walker Coonhound, Bluetick Coonhound, Mountain Cur",intelligent / sociable / energetic,5,3,5,1,5,0,['Smooth'],1,4,5,5,1,3,3,3,21,27,35,75
12,American Staffordshire Terrier,"The American Staffordshire Terrier, known to their fans as AmStaffs, are smart, confident, good-natured companions. Their courage is proverbial. A responsibly bred, well-socialized AmStaff is a loyal, trustworthy friend to the end.",Terrier Group,United States,12-16 years,"Staffordshire Bull Terrier, Bulldog, Boxer, Miniature Bull Terrier, Bull Terrier",good-natured / confident / smart,3,5,3,1,3,0,['Smooth'],1,3,3,3,4,3,2,3,17,19,40,70
13,American Water Spaniel,"The American Water Spaniel, native to the lake country of the upper Midwest, is an upbeat, outdoorsy athlete who loves to hunt and swim. They are known to be happy, eager, and charming, though aloof with strangers and a bit stubborn.",Sporting Group,United States,10-14 years,"Chesapeake Bay Retriever, Curly-Coated Retriever, Portuguese Water Dog, Irish Water Spaniel, Spanish Water Dog",charming / eager / happy,3,3,3,3,3,0,"['Curly', 'Double']",1,3,3,3,3,3,1,5,15,18,25,45
14,Anatolian Shepherd Dog,"An Anatolian Shepherd Dog is a rugged, imposing flock guardian of ancient lineage. Protective and territorial, but also intelligent, patient, and profoundly loyal, these muscular avengers are prized as working guard dogs without equal.",Working Group,Turkey,11-13 years,"Central Asian Shepherd Dog, Kuvasz, Romanian Mioritic Shepherd Dog, Great Pyrenees, Caucasian Shepherd Dog",reserved / independent / loyal,3,1,3,2,3,0,['Smooth'],1,3,3,3,1,3,3,2,27,29,80,150
15,Appenzeller Sennenhund,"<p>The Appenzeller Sennenhund is a medium-sized herding breed that is tri-color and almost squarely built and balanced. He is muscular and agile and makes a good driving, watch, guard, house, or farm dog. Due to their versatility and willingness, they excel in agility, obedience, herding, and search and rescue.</p>",Foundation Stock Service,Switzerland,13-15 years,"Greater Swiss Mountain Dog, Bernese Mountain Dog, Entlebucher Mountain Dog",versatile / agile / lively,5,5,5,3,3,0,[],3,5,5,5,1,3,3,5,19.5,22,48,70
16,Australian Cattle Dog,"<p>The compact but muscular Australian Cattle Dog, also called Blue or Red Heeler or Queensland Heeler, is related to Australia's famous wild dog, the Dingo. These resilient herders are intelligent enough to routinely outsmart their owners. Standing between 17 to 20 inches at the shoulder, the Australian Cattle Dog is a sturdy, hard-muscled herder of strength and agility. The ACD is born with a white coat that turns either blue-gray or red. Both coat colors may feature distinctive mottling or speckling patterns. ACDs have immense work drive and excel at controlling and, of course, moving livestock. Their boundless energy and supple gait make them excellent running partners. ACDs are true-blue loyal, famously smart, tenacious, ever alert, and may be wary of strangers. If an ACD isn't challenged, it easily becomes bored and may get into mischief. It is recommended that ACD owners participate with these versatile dogs in some work, sport, or regular exercise to keep them mentally and physically fit.</p>",Herding Group,Australia,12-16 years,"Australian Shepherd, Australian Kelpie, Australian Terrier, Australian Stumpy Tail Cattle Dog, Working Kelpie",Loyal / Intelligent / Tenacious,3,3,1,1,3,0,"['Double', 'Smooth']",1,5,3,4,3,3,3,4,17,20,35,50
17,Australian Kelpie,"<p>The Australian Kelpie is a lithe, active dog, capable of untiring work. He is extremely intelligent, alert, and eager with unlimited energy.</p>",Foundation Stock Service,United States,10-13 years,"Australian Cattle Dog, Working Kelpie, Australian Stumpy Tail Cattle Dog, Australian Terrier, Australian Shepherd",alert / loyal / intelligent,3,3,1,1,3,0,"['Double', 'Smooth']",1,5,3,4,3,3,3,4,17,20,35,50
18,Australian Shepherd,"The Australian Shepherd, a lean, tough ranch dog, is one of those 'only in America' stories: a European breed perfected in California by way of Australia. Fixtures on the rodeo circuit, they are closely associated with the cowboy life.",Herding Group,Australia,12-15 years,"Border Collie, Pyrenean Shepherd, Croatian Sheepdog, Miniature American Shepherd",smart / work-oriented / exuberant,3,3,3,2,5,0,['Double'],1,5,3,5,3,4,3,5,18,23,40,65
19,Australian Stumpy Tail Cattle Dog,<p>The Australian Stumpy Tail Cattle Dog is not an Australian Cattle Dog with a docked tail. They are naturally bob-tailed breed and stands square with plenty of leg length under the body.</p>,Foundation Stock Service,Australia,12-15 years,"Australian Cattle Dog, Working Kelpie, Australian Shepherd, Australian Terrier, Australian Kelpie",alert / active / bidable,3,1,1,3,3,0,['Double'],1,5,1,5,1,3,3,3,17,20,32,45
20,Australian Terrier,"<p>The Australian Terrier is plucky, spirited and lively. The cheeky self-assured Aussie approaches life with plenty of the terrier curiosity and grit.</p>",Terrier Group,Australia,11-15 years,"Norwich Terrier, Dandie Dinmont Terrier, Yorkshire Terrier, Cairn Terrier, Silky Terrier",courageous / affectionate / spirited,4,4,3,2,5,0,"['Double', 'Rough']",1,3,3,3,3,3,1,4,10,11,15,20
21,Azawakh,"<p>Tall and elegant, the Azawakh is a West African sighthound who originates from the countries of Burkina Faso, Mali, and Niger. The Azawakh has a short, fine coat which may come in any color or color combinations: red, clear sand to fawn, brindled, parti-color (which may be predominantly white), blue, black and brown. The head may have a black mask and there may be white markings on the legs, bib and at the tip of tail. There are no color or marking disqualifications in the breed. Befitting its heritage, the Azawakh excels as a companion, guardian and a lure courser in the United States.</p>",Hound Group,Sahel Region,12-15 years,"Greyhound, Sloughi, Borzoi, Ibizan Hound, Saluki",independent / loyal / deeply affectionate,3,3,1,2,3,0,['Smooth'],1,3,3,3,1,3,2,2,23.5,29,33,55
22,Barbado da Terceira,"<p>The Barbado da Terceira is a medium-sized herder that is a great companion and family dog. The breed is intelligent, easy to train, docile and willful, joyful, and sensitive. BDTs are athletic and need an experienced and loving owner.</p>
<p><br>
&nbsp;</p>
<p>Barbado da Terceira Club of the United States&nbsp;</p>
<p>Club Contact: Dana Simel&nbsp;</p>
<p>Email: barbadoUSA@gmail.com</p>",Foundation Stock Service,Portugal,12-14 years,"Polish Lowland Sheepdog, Portuguese Sheepdog, Pyrenean Shepherd, Bearded Collie, Schapendoes",loyal / intelligent / joyful and fun loving,0,0,5,0,4,0,['Wiry'],0,5,3,0,0,0,1,5,19,2012,46,60
23,Barbet,"<p>An archetypic water dog of France, the Barbet is a rustic breed of medium size and balanced proportions who appears in artwork as early as the 16th century. In profile, the Barbet is slightly rectangular with a substantial head and long, sweeping tail. He has a long, dense covering of curly hair and a distinctive beard. An agile athlete, the Barbet has been used primarily to locate, flush, and retrieve birds. He has a cheerful disposition and is very social and loyal.</p>",Sporting Group,France,12-14 years,"Portuguese Water Dog, Irish Water Spaniel, Spanish Water Dog, Otterhound",friendly / bright / sweet-natured,3,4,3,5,3,0,"['Wavy', 'Curly']",1,3,3,3,3,3,1,4,19,24.5,35,65
24,Basenji,"The Basenji, Africa's 'Barkless Dog,' is a compact, sweet-faced hunter of intelligence and poise. They are unique and beguiling pets, best for owners who can meet their exercise needs and the challenge of training this catlike canine.",Hound Group,Central Africa,13-14 years,"Ibizan Hound, Pharaoh Hound, Boerboel, Rhodesian Ridgeback, Azawakh",independent / smart / poised,3,3,1,1,3,0,['Smooth'],1,4,3,4,3,3,2,2,16,17,22,24
25,Basset Fauve de Bretagne,"<p>Smart, courageous and determined, the Basset Fauve de Bretagne is a serious hunter, easily adaptable to different types of game and terrain. It is equally an excellent companion dog, being cheerful, intelligent and eager to please.</p>",Miscellaneous Class,France,13-16 years,"Basset Hound, Braque Francais Pyrenean, Porcelaine",sociable / lively / smart,5,3,3,1,5,0,"['Double', 'Wiry']",1,4,5,5,5,3,3,1,12.5,15.5,23,39
26,Basset Hound,"Among the most appealing of the AKC breeds, the endearing and instantly recognizable Basset Hound is a perennial favorite of dog lovers all over the world. This low-slung and low-key hound can be sometimes stubborn, but is always charming.",Hound Group,France,12-13 years,"Bloodhound, Dachshund, Basset Fauve de Bretagne, Harrier",charming / patient / low-key,3,3,4,3,5,0,['Smooth'],4,2,5,3,3,3,2,3,15,15,40,65
27,Bavarian Mountain Scent Hound,"<p>The Bavarian Mountain Scent Hound is calm and balanced, devoted to its owner, and reserved with strangers. He is a sound, self-assured, unafraid, biddable dog, neither shy nor aggressive.</p>",Foundation Stock Service,Germany,12-15 years,"Bloodhound, Hanoverian Scenthound, Transylvanian Hound, Plott Hound, Black and Tan Coonhound",loyal / reserved with strangers / versatile,3,3,2,2,3,0,['Smooth'],2,4,3,4,3,3,3,4,17,20.5,37,66
28,Beagle,"Not only is the Beagle an excellent hunting dog and loyal companion, it is also happy-go-lucky, funny, and'thanks to its pleading expression'cute. They were bred to hunt in packs, so they enjoy company and are generally easygoing.",Hound Group,England,10-15 years,"English Foxhound, Harrier, Basset Fauve de Bretagne, Basset Hound, American Foxhound",curious / friendly / merry,4,3,4,2,5,0,['Smooth'],1,4,5,4,3,4,3,3,13,15,15,3013
29,Bearded Collie,"A boisterous and charismatic droving dog from Scotland, the shaggy-coated Bearded Collie ('Beardie' to his friends) enjoys outdoor exercise in all weather. Bred to be independent decision-makers, they can be willful but are always friendly.",Herding Group,Scotland,12-14 years,"Collie, Portuguese Sheepdog, Pyrenean Shepherd, Schapendoes, Bergamasco Sheepdog",smart / bouncy / charismatic,4,4,5,4,5,0,['Silky'],1,4,5,3,4,4,3,3,20,22,45,55
30,Beauceron,"<p>The Beauceron is imposing and powerful, but also remarkably smart, spirited, and a versatile herder. Imagine a Border Collie's brain in a 100-pound body. They are especially beloved by women as a dashing but sensitive companion and protector.</p>",Herding Group,France,10-12 years,"Briard, Belgian Malinois, Dutch Shepherd, Berger Picard, Border Collie",faithful / gentle / obedient,3,3,3,3,3,0,"['Double', 'Smooth']",1,5,3,3,2,3,4,3,24,27.5,70,110
31,Bedlington Terrier,"<p>Graceful terriers in sheep's clothing, Bedlington Terriers, named for the English mining shire where they were first bred, are genial housemates, alert watchdogs, versatile athletes, and irresistibly cuddly TV-time companions.</p>",Terrier Group,England,11-16 years,"Soft Coated Wheaten Terrier, Whippet, Dandie Dinmont Terrier, Kerry Blue Terrier",loyal / charming / frollicking,3,3,3,3,3,0,['Curly'],1,4,3,3,3,3,1,3,15,17.5,17,23
32,Belgian Laekenois,"<p>Strong, agile and full of life, the Belgian Laekenois (pronounced ""Lak-in-wah"") is one of four native dogs of Belgium. Although similar in body and temperament to the Malinois, Shepherd and Tervuren, the Laekenois differs in coat color, texture and length, as well as region of origin.</p>",Herding Group,Belgium,10-12 years,"Belgian Malinois, Belgian Sheepdog, Schipperke, Dutch Shepherd, Belgian Tervuren",alert / intelligent / affectionate,3,3,3,2,3,0,"['Rough', 'Wiry']",1,4,3,4,3,3,3,5,22,26,55,65
33,Belgian Malinois,"The smart, confident, and versatile Belgian Malinois is a world-class worker who forges an unbreakable bond with his human partner. To deny a Mal activity and the pleasure of your company is to deprive him of his very reasons for being.",Herding Group,Belgium,14-16 years,"Belgian Sheepdog, Belgian Tervuren, Dutch Shepherd, Schipperke, Belgian Laekenois",confident / smart / hardworking,3,3,3,2,3,0,['Smooth'],1,4,3,4,3,3,3,5,22,26,40,80
34,Belgian Sheepdog,"The Belgian Sheepdog is a highly trainable herder whose versatility and intelligence is the stuff of canine legend. This is a breed built for hard work, and plenty of it. These sensitive souls crave human companionship and abhor neglect.",Herding Group,Belgium,12-14 years,"Belgian Laekenois, Belgian Tervuren, Bouvier des Flandres, Dutch Shepherd, Belgian Malinois",bright / watchful / serious-minded,3,3,3,2,3,0,['Double'],1,4,3,4,3,3,3,5,22,26,45,75
35,Belgian Tervuren,"The elegant, agile Belgian Tervuren is a bright and self-assured herding dog of medium size, known to be affectionate and possessive with loved ones. Lots of hard work and challenging play is heaven for this tireless, do-it-all dog.",Herding Group,Belgium,12-14 years,"Belgian Sheepdog, Beauceron, Dutch Shepherd, Belgian Laekenois, Belgian Malinois",alert / intelligent / courageous,3,3,3,2,3,0,['Double'],1,4,3,4,3,3,3,5,22,26,45,75
36,Bergamasco Sheepdog,"<p>Generally happy with kids and other animals, the low-maintenance and robustly healthy Bergamasco is much more than a show-stopping hairdo. Eager to please, smart, and stubbornly devoted to work, Bergamascos are patient but protective.</p>",Herding Group,Italy,13-15 years,"Komondor, Polish Lowland Sheepdog, Schapendoes, Old English Sheepdog, Portuguese Sheepdog",independent / intelligent / sociable,3,3,1,1,3,0,['Corded'],2,3,3,3,3,3,1,3,22,23.5,57,84
37,Berger Picard,"<p>The Berger Picard is a lanky herding dog of strong bone and sturdy build. Picards spent centuries as take-charge independent problem-solvers, so early socialization and positive training are necessary to cope with their stubborn streak.</p>",Herding Group,France,12-13 years,"Pyrenean Shepherd, Briard, Portuguese Podengo, Dutch Shepherd, Belgian Laekenois",loyal / good-natured / observant,3,3,2,1,3,0,['Wiry'],1,4,3,4,3,3,3,4,21.5,25.5,50,70
38,Bernese Mountain Dog,"Big, powerful, and built for hard work, the Bernese Mountain Dog is also strikingly beautiful and blessed with a sweet, affectionate nature. Berners are generally placid but are always up for a romp with the owner, whom they live to please.",Working Group,Switzerland,7-10 years,"Greater Swiss Mountain Dog, Entlebucher Mountain Dog, Estrela Mountain Dog, Great Pyrenees, Appenzeller Sennenhund",good-natured / calm / strong,4,5,3,3,5,0,['Double'],3,4,5,3,4,4,5,4,23,27.5,70,115
39,Bichon Frise,"The small but sturdy and resilient Bichon Frise stands among the world's great 'personality dogs.' Since antiquity, these irresistible canine comedians have relied on charm, beauty, and intelligence to weather history's ups and downs.",Non-Sporting Group,The Mediterranean,14-15 years,"Bolognese, Maltese, West Highland White Terrier, Havanese, Coton de Tulear",curious / playful / peppy,4,5,3,5,5,0,"['Curly', 'Double']",1,4,5,3,5,4,1,4,9.5,11.5,12,18
40,Biewer Terrier,"<p>The Biewer Terrier is an elegant, longhaired, tri-colored toy terrier whose only purpose in life is to love and be loved. They maintain a charming, whimsical attitude well into adulthood. Carrying around a toy or two is not surprising.</p>",Toy Group,Germany,16 years,"Yorkshire Terrier, Silky Terrier, Toy Fox Terrier, West Highland White Terrier, Sealyham Terrier",intelligent / devoted / amusing,3,5,3,3,3,0,['Silky'],1,3,5,3,3,4,1,3,7,11,4,8
41,Black and Tan Coonhound,"<p>Large, athletic hunters who work nights, Black and Tan Coonhounds are friendly, easygoing hounds who love company. They are snoozy by the fireside but tenacious when on the trail of the wily raccoon. The Black and Tan Coonhound is a real American original.</p>",Hound Group,United States,10-12 years,"Bluetick Coonhound, Redbone Coonhound, American Foxhound, English Foxhound, Treeing Walker Coonhound",easy-going / bright / brave,4,4,4,2,5,0,['Smooth'],3,3,5,3,3,3,3,3,23,27,65,110
42,Black Russian Terrier,"The Black Russian Terrier is a large, immensely powerful worker of heavy bone and coarse all-black coat. BRTs are known for their courage, confidence, and intelligence. Bred to guard and protect, they are naturally aloof with strangers.",Working Group,Russia,10-12 years,"Giant Schnauzer, Bouvier des Flandres, Newfoundland, Soft Coated Wheaten Terrier, Airedale Terrier",intelligent / calm / powerful,4,3,3,4,3,0,"['Curly', 'Double']",3,4,3,4,2,3,3,4,26,30,80,130
43,Bloodhound,"<p>The world-famous 'Sleuth Hound' does one thing better than any creature on earth: find people who are lost or hiding. An off-duty Bloodhound is among the canine kingdom's most docile citizens, but he's relentless and stubborn on a scent.</p>",Hound Group,Western Europe,10-12 years,"Hanoverian Scenthound, Transylvanian Hound, Bluetick Coonhound, Bavarian Mountain Scent Hound, Black and Tan Coonhound",independent / friendly / inquisitive,3,4,5,2,3,0,['Smooth'],5,3,3,3,3,3,3,4,23,27,80,110
44,Blue Picardy Spaniel,"<p>The Blue Picardy Spaniel is an obedient, brave, even-tempered sporting dog. &nbsp;The Blue is highly skilled at hunting and retrieving as well as very adept at winning over their humans with their sweet nature and blue roan coats.</p>",Foundation Stock Service,France,11-12 years,English Setter,Friendly / Mellow / Merry,5,3,3,1,5,0,[],1,3,5,1,1,3,3,5,21 inches,24 inches,45 lbs,55 lbs
45,Bluetick Coonhound,"The sleekly beautiful Bluetick Coonhound is a sweet and affectionate charmer who might enjoy snoozing in the shade, but in pursuit of quarry he is relentless, bold, and single-minded. His off-the-charts prey drive must be channeled.",Hound Group,United States,11-12 years,"Black and Tan Coonhound, American English Coonhound, Plott Hound, Redbone Coonhound, Treeing Walker Coonhound",devoted / smart / tenacious,3,3,4,2,3,0,['Smooth'],2,4,5,3,3,3,3,4,21,27,45,80
46,Boerboel,"<p>Boerboels are intimidating but discerning guardians of home and family who learned their trade while protecting remote South African homesteads from ferocious predators. They are dominant and confident, also bright and eager to learn.</p>",Working Group,South Africa,9-11 years,"Bullmastiff, Cane Corso, Dogue de Bordeaux, Neapolitan Mastiff, Presa Canario",intelligent / confident / calm,3,5,3,2,4,0,['Smooth'],3,3,2,4,3,3,3,4,22,27,150,200
47,Bohemian Shepherd,"<p>The Bohemian Shepherd is an intelligent, lively, quick, athletic breed which enthusiastically welcomes most any activity introduced, making the breed rather versatile.</p>",Foundation Stock Service,Czech Republic,12-15 years,"Affenpinscher, Romanian Mioritic Shepherd Dog, Croatian Sheepdog, German Shepherd Dog, Czechoslovakian Vlciak, Cesky Terrier","friendly, devoted, alert and intelligent",4,4,4,2,4,0,"['Wavy', 'Double']",1,4,4,4,3,4,3,4,19.3,21.7,37,60
48,Bolognese,"<p>The Bolognese, a member of the Bichon family, is an enchanting small, white companion dog with a compact and sturdy, square body. The Bolognese is a rather serious dog and generally not high energy, but is intelligent and witty.</p>",Miscellaneous Class,Italy,12-14 years,"Maltese, Bichon Frise, Coton de Tulear, Lhasa Apso, Havanese",playful / easy-going / devoted,5,3,1,3,3,0,['Wavy'],1,1,3,1,5,1,1,5,10,12,6,10
49,Border Collie,"A remarkably bright workaholic, the Border Collie is an amazing dog'maybe a bit too amazing for owners without the time, energy, or means to keep it occupied. These energetic dogs will settle down for cuddle time when the workday is done.",Herding Group,England/Scotland,12-15 years,"Australian Shepherd, Collie, Pyrenean Shepherd, Miniature American Shepherd, Icelandic Sheepdog",energetic / affectionate / smart,5,5,4,3,3,0,"['Wavy', 'Double']",1,5,3,5,4,5,3,5,18,22,30,55
50,Border Terrier,"Admirers of the upbeat and agile Border Terrier cherish their breed's reputation as a tough, no-frills working terrier. These plucky, happy, and affectionate dogs are popular pets in town and country. The wiry coat is an easy keeper.",Terrier Group,England/Scotland,12-15 years,"Norwich Terrier, Russell Terrier, Norfolk Terrier, Jagdterrier, Cairn Terrier",affectionate / happy / plucky,4,4,3,2,5,0,['Wiry'],1,3,3,3,4,4,2,4,12,15,11.5,15.5
51,Borzoi,"<p>Among the most impressively beautiful of all dogs, the aristocratic Borzoi is cherished for his calm, agreeable temperament. In full stride, he is a princely package of strength, grace, and glamour flying by at 35 to 40 miles per hour.</p>",Hound Group,Russia,9-14 years,"Irish Wolfhound, Saluki, Scottish Deerhound, Azawakh, Greyhound",loyal / affectionate / regally dignified,3,3,2,2,3,0,"['Silky', 'Curly']",1,4,3,4,3,3,3,2,26,28,60,105
52,Boston Terrier,"The Boston Terrier is a lively little companion recognized by his tight tuxedo jacket, sporty but compact body, and the friendly glow in his big, round eyes. His impeccable manners have earned him the nickname 'The American Gentleman.'",Non-Sporting Group,United States,11-13 years,"French Bulldog, Affenpinscher, Pug, Rat Terrier",friendly / bright / amusing,3,5,2,2,5,0,['Smooth'],1,4,4,3,5,5,2,4,10,12,12,25
53,Bouvier des Ardennes,"<p>The Bouvier des Ardennes is a medium-sized rustic drover who works diligently to manage cattle and guard his property. He is quick, surefooted, alert, intelligent, and strives to impress his master.</p>",Foundation Stock Service,Belguium,12-16 years,"Bouvier des Flandres, Belgian Sheepdog",Playful / Hardy / Obstinate,5,5,5,1,3,0,[],1,5,3,5,3,3,3,5,20.5 inches,24.5 inches,48.5,77.5
54,Bouvier des Flandres,"<p>They don't build 'em like this anymore. Burly and broad-chested, the tousle-coated dog of Flandres is from a time and place where a dog had to work like ' well, a dog. These smart and steady all-purpose workers make excellent watchdogs.</p>",Herding Group,"Flanders (France, Belgium, Netherlands)",10-12 years,"Belgian Tervuren, Briard, Black Russian Terrier, Giant Schnauzer, Dutch Shepherd",strong-willed / courageous / affectionate,3,3,3,4,3,0,"['Double', 'Rough']",2,4,3,3,3,3,3,4,23.5,27.5,70,110
55,Boxer,"Loyalty, affection, intelligence, work ethic, and good looks: Boxers are the whole doggy package. Bright and alert, sometimes silly, but always courageous, the Boxer has been among America's most popular dog breeds for a very long time.",Working Group,Germany,10-12 years,"Doberman Pinscher, American Staffordshire Terrier, Staffordshire Bull Terrier, Beauceron, Great Dane",active / bright / fun-loving,3,4,3,2,5,0,['Smooth'],3,4,3,4,4,4,2,4,21.5,25,15,80
56,Boykin Spaniel,"A medium-sized flushing and retrieving dog known for its rich brown coat, the Boykin Spaniel is avid, eager, merry, and trainable. This mellow housedog and tenacious bird dog was once South Carolina's best-kept secret.",Sporting Group,United States,10-15 years,"English Springer Spaniel, American Water Spaniel, French Spaniel, Deutscher Wachtelhund, Field Spaniel",friendly / eager / lovable,4,3,3,3,5,0,"['Wavy', 'Double']",1,4,5,3,3,4,3,4,14,18,25,40
57,Bracco Italiano,<p>The Bracco Italiano is one of the oldest of the pointing breeds. It was introduced into the United States in the 1990s and has remained true to its heritage as a versatile gun dog. It is gentle in the home and tireless in the field.</p>,Sporting Group,Italy,10-14 years,"Spinone Italiano, Pointer, Segugio Italiano, Bloodhound, Braque du Bourbonnais",intelligent / affectionate / enthusiastic,3,3,2,1,4,0,['Smooth'],2,4,4,3,3,3,2,5,21,27,55,90
58,Braque du Bourbonnais,"<p>Pronounced brock-do-bor-bon-NAY, this pointer has a calm, gentle demeanor that is ideally suited for the foot hunter. The breed's relatively small size and short coat well suits them as an ideal home companion for the family that hunts.</p>",Foundation Stock Service,France,10-12 years,"German Shorthaired Pointer, Brittany, Pudelpointer, Braque Francais Pyrenean, Pointer",affectionate / gentle / adaptable,3,3,2,1,3,0,['Smooth'],2,4,4,3,3,3,2,5,19,22.5,35,53
59,Braque Francais Pyrenean,"<p>The Braque Francais Pyrenean is a rustic breed and hails from France. In English, he is the French Pointing Dog Pyrenean Type.</p>",Foundation Stock Service,France,12-15 years,"Braque du Bourbonnais, German Shorthaired Pointer, Pointer, Brittany, Portuguese Pointer",friendly / smart / willing to please,3,3,3,1,5,0,['Smooth'],2,5,5,3,3,3,3,3,18.5,23,40,55
